subject,session,trial,call_index,track_frame_idx,call_time,zone,zone_name,bat_x,bat_y,bat_z,beam_az_deg,beam_el_deg,lat_index,angle_from_midline_deg,is_preflight,is_zone1,is_junction
batA125,20260710,7,21,6328,-9.672629969353252,1,approach,-0.9527769391245342,1.5362304423122664,1.2169483379686674,-137.9516629664653,5.823810660044017,-0.39501933816434015,-48.36456902080528,1,1,0
batA125,20260710,7,22,6567,-9.433621981110688,1,approach,-0.9500991031024302,1.5351435752682763,1.2166571343862471,-98.96712592049163,8.832214283655333,-0.08588815855392673,-9.350120905997386,1,1,0
batA125,20260710,7,23,6729,-9.270620324648227,1,approach,-0.9493046765569199,1.5345575552216262,1.216421057620575,-88.97953743566931,8.837608882197578,0.005964008737433857,0.6463257057947942,1,1,0
batA125,20260710,7,24,6908,-9.090616001787023,1,approach,-0.9475767645176868,1.5337909125249478,1.2159369094492032,-85.99141290478684,8.848865640602934,0.03369831570093007,3.653756126001724,1,1,0
batA125,20260710,7,25,7024,-8.977613424901543,1,approach,-0.9468019094860709,1.5336500073289543,1.2161292110122268,-40.99071039551839,7.845858789205644,0.39705020013626596,48.66313049837643,1,1,0
batA125,20260710,7,26,7219,-8.780610160528447,1,approach,-0.9454866575449451,1.533406390027957,1.2161014266521624,-41.98965101888362,4.847758112271019,0.39101202247074096,47.67891041497961,1,1,0
batA125,20260710,7,27,7396,-8.605609309439753,1,approach,-0.9452116708992062,1.5332138736837733,1.2160286053352156,-41.99362744538384,4.849448509519501,0.3910213504079894,47.67800346381085,1,1,0
batA125,20260710,7,28,7617,-8.383605428716075,1,approach,-0.9435705550424852,1.532354932046139,1.2159047492371287,-42.00874276706511,4.85345635896988,0.3911084891925477,47.68122743144798,1,1,0
batA125,20260710,7,29,7764,-8.23660245684324,1,approach,-0.9423668112613214,1.5315542911851445,1.2157245776058798,-39.02486120116532,7.858120802405495,0.40925962509148256,50.67855522090258,1,1,0
batA125,20260710,7,30,7910,-8.090598611970504,1,approach,-0.9408701356188817,1.5311419952096754,1.215631532036748,-38.0276258234769,7.86145703802947,0.4151626764113943,51.69254390674345,1,1,0
